,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,Squad,# Pl,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
0,Arsenal,23,23.0,686,29.83,526,52,38,42,19,9,78,3.39,45,11,6,8,8,0
1,Aston Villa,27,23.0,595,25.87,442,50,28,47,20,8,84,3.65,61,5,4,6,6,2
2,Bournemouth,26,22.6,493,21.77,360,39,35,26,17,16,47,2.08,33,1,3,4,2,4
3,Brentford,28,22.0,472,21.45,326,57,18,39,24,8,45,2.05,29,4,1,5,6,0
4,Brighton,27,23.0,614,26.7,456,50,31,44,26,7,75,3.26,52,4,8,5,5,1
5,Burnley,30,23.0,427,18.57,295,50,33,28,17,4,48,2.09,38,2,6,1,1,0
6,Chelsea,29,23.0,540,23.48,397,36,40,24,27,16,67,2.91,46,4,5,3,7,2
7,Crystal Palace,26,23.0,463,20.13,304,49,30,37,30,13,49,2.13,42,1,2,0,4,0
8,Everton,25,23.0,535,23.26,368,52,18,54,24,19,35,1.52,19,3,0,10,1,2
9,Fulham,25,23.0,491,21.35,362,44,25,36,16,8,50,2.17,39,3,1,5,2,0
10,Liverpool,28,23.0,756,32.87,562,66,32,60,29,7,81,3.52,64,3,5,6,3,0
11,Luton Town,23,22.6,432,19.08,296,41,37,33,18,7,49,2.16,27,5,4,10,3,0
12,Manchester City,25,22.0,690,31.36,537,39,37,36,33,8,95,4.32,71,3,8,7,6,0
13,Manchester Utd,30,23.0,579,25.17,435,43,35,34,21,11,57,2.48,39,3,6,3,2,4
14,Newcastle Utd,30,23.0,572,24.87,413,32,46,42,28,11,79,3.43,47,4,11,8,6,3
15,Nott'ham Forest,33,23.0,424,18.43,303,40,26,31,15,9,51,2.22,40,1,6,1,2,1
16,Sheffield Utd,32,23.0,343,14.91,243,33,19,29,14,5,23,1.0,15,1,2,3,2,0
17,Tottenham,27,23.0,653,28.39,491,43,38,46,20,15,82,3.57,64,5,5,4,2,2
18,West Ham,24,23.0,475,20.65,315,61,31,27,28,13,62,2.7,41,6,4,6,3,2
19,Wolves,25,23.0,461,20.04,312,43,40,30,28,8,61,2.65,38,5,7,5,4,2
