,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Arsenal,23,25.4,60.1,23,253,2070,23.0,46,31,77,40,6,6,39,2,44.3,39.8,30.7,70.5,520,1324,2.0,1.35,3.35,1.74,3.09,1.93,1.33,3.26,1.73,3.06
1,Aston Villa,27,27.5,55.8,23,253,2070,23.0,46,34,80,42,4,4,63,1,40.8,37.7,30.6,68.3,497,975,2.0,1.48,3.48,1.83,3.3,1.77,1.33,3.1,1.64,2.97
2,Bournemouth,26,26.2,44.4,22,242,2038,22.6,30,21,51,29,1,1,42,2,30.9,30.1,22.3,52.4,380,731,1.32,0.93,2.25,1.28,2.21,1.36,0.98,2.35,1.33,2.31
3,Brentford,28,27.2,46.6,22,242,1980,22.0,31,19,50,28,3,3,47,1,36.4,34.3,25.4,59.6,302,779,1.41,0.86,2.27,1.27,2.14,1.65,1.15,2.81,1.56,2.71
4,Brighton,27,26.7,61.7,23,253,2070,23.0,40,32,72,36,4,4,55,2,38.2,35.4,28.7,64.0,525,1132,1.74,1.39,3.13,1.57,2.96,1.66,1.25,2.91,1.54,2.78
5,Burnley,30,25.2,46.1,23,253,2070,23.0,24,19,43,23,1,1,47,4,21.8,21.0,16.6,37.6,397,683,1.04,0.83,1.87,1.0,1.83,0.95,0.72,1.67,0.91,1.64
6,Chelsea,29,25.1,58.8,23,253,2070,23.0,37,24,61,30,7,8,77,3,43.9,37.6,28.4,66.0,525,990,1.61,1.04,2.65,1.3,2.35,1.91,1.24,3.14,1.64,2.87
7,Crystal Palace,26,27.6,42.7,23,253,2070,23.0,26,20,46,23,3,3,43,1,26.4,24.0,20.6,44.6,310,699,1.13,0.87,2.0,1.0,1.87,1.15,0.9,2.04,1.04,1.94
8,Everton,25,27.5,38.9,23,253,2070,23.0,26,12,38,26,0,0,51,1,35.7,35.7,26.4,62.1,306,665,1.13,0.52,1.65,1.13,1.65,1.55,1.15,2.7,1.55,2.7
9,Fulham,25,29.4,51.0,23,253,2070,23.0,29,19,48,27,2,2,53,3,28.4,26.8,19.6,46.4,384,882,1.26,0.83,2.09,1.17,2.0,1.23,0.85,2.08,1.16,2.02
10,Liverpool,28,27.2,59.6,23,253,2070,23.0,48,38,86,44,4,7,46,5,48.9,43.2,35.2,78.4,522,1197,2.09,1.65,3.74,1.91,3.57,2.13,1.53,3.66,1.88,3.41
11,Luton Town,23,27.3,39.0,22,242,2038,22.6,29,20,49,26,3,3,40,0,25.6,23.3,17.8,41.1,360,608,1.28,0.88,2.16,1.15,2.03,1.13,0.78,1.92,1.03,1.81
12,Manchester City,25,27.1,64.9,22,242,1980,22.0,53,40,93,49,4,5,39,2,43.6,39.8,33.2,73.1,628,1103,2.41,1.82,4.23,2.23,4.05,1.98,1.51,3.49,1.81,3.32
13,Manchester Utd,30,26.9,51.7,23,253,2070,23.0,31,22,53,29,2,3,56,1,33.9,31.5,24.8,56.4,473,975,1.35,0.96,2.3,1.26,2.22,1.47,1.08,2.55,1.37,2.45
14,Newcastle Utd,30,28.0,52.7,23,253,2070,23.0,47,32,79,43,4,4,54,0,45.5,42.3,30.5,72.8,406,939,2.04,1.39,3.43,1.87,3.26,1.98,1.32,3.3,1.84,3.16
15,Nott'ham Forest,33,26.4,40.3,23,253,2070,23.0,28,23,51,27,1,1,53,3,26.0,25.2,19.9,45.1,332,651,1.22,1.0,2.22,1.17,2.17,1.13,0.86,1.99,1.1,1.96
16,Sheffield Utd,32,26.5,37.6,23,253,2070,23.0,16,9,25,13,3,3,73,3,20.8,18.5,12.3,30.7,205,528,0.7,0.39,1.09,0.57,0.96,0.91,0.53,1.44,0.8,1.34
17,Tottenham,27,25.8,59.6,23,253,2070,23.0,46,39,85,45,1,1,59,4,40.3,39.5,34.0,73.5,574,1207,2.0,1.7,3.7,1.96,3.65,1.75,1.48,3.23,1.72,3.2
18,West Ham,24,28.8,41.4,23,253,2070,23.0,35,25,60,32,3,4,52,2,32.7,29.5,20.8,50.4,327,739,1.52,1.09,2.61,1.39,2.48,1.42,0.91,2.33,1.28,2.19
19,Wolves,25,27.4,46.7,23,253,2070,23.0,35,28,63,32,3,3,62,3,31.9,29.5,22.2,51.8,424,708,1.52,1.22,2.74,1.39,2.61,1.39,0.97,2.35,1.28,2.25
